subsampling,Acc,clusters,method
hop,0.4,15,2
iid,0.5,15,2
kh,0.45,15,2
geo,0.45,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.5,30,2
geo,0.4,50,2
hop,0.45,50,2
iid,0.55,50,2
kh,0.55,50,2
geo,0.45,15,2
hop,0.45,15,2
iid,0.55,15,2
kh,0.65,15,2
geo,0.5,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.65,30,2
geo,0.6,50,2
hop,0.45,50,2
iid,0.65,50,2
kh,0.7,50,2
geo,0.55,15,2
hop,0.4,15,2
iid,0.4,15,2
kh,0.5,15,2
geo,0.4,30,2
hop,0.45,30,2
iid,0.5,30,2
kh,0.6,30,2
geo,0.3,50,2
hop,0.4,50,2
iid,0.45,50,2
kh,0.5,50,2
geo,0.55,15,2
hop,0.6,15,2
iid,0.7,15,2
kh,0.6,15,2
geo,0.35,30,2
hop,0.6,30,2
iid,0.4,30,2
kh,0.45,30,2
geo,0.75,50,2
hop,0.75,50,2
iid,0.8,50,2
kh,0.6,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.45,15,2
kh,0.55,15,2
geo,0.5,30,2
hop,0.65,30,2
iid,0.6,30,2
kh,0.55,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.65,50,2
kh,0.6,50,2
geo,0.5,15,2
hop,0.25,15,2
iid,0.35,15,2
kh,0.4,15,2
geo,0.7,30,2
hop,0.65,30,2
iid,0.7,30,2
kh,0.55,30,2
geo,0.35,50,2
hop,0.55,50,2
iid,0.65,50,2
kh,0.35,50,2
geo,0.5,15,2
hop,0.35,15,2
iid,0.55,15,2
kh,0.4,15,2
geo,0.4,30,2
hop,0.65,30,2
iid,0.35,30,2
kh,0.65,30,2
geo,0.5,50,2
hop,0.5,50,2
iid,0.7,50,2
kh,0.65,50,2
geo,0.45,15,2
hop,0.3,15,2
iid,0.55,15,2
kh,0.55,15,2
geo,0.35,30,2
hop,0.35,30,2
iid,0.5,30,2
kh,0.7,30,2
geo,0.45,50,2
hop,0.7,50,2
iid,0.4,50,2
kh,0.65,50,2
geo,0.35,15,2
hop,0.5,15,2
iid,0.45,15,2
kh,0.55,15,2
geo,0.55,30,2
hop,0.75,30,2
iid,0.7,30,2
kh,0.5,30,2
geo,0.6,50,2
hop,0.55,50,2
iid,0.5,50,2
kh,0.45,50,2
geo,0.4,15,2
hop,0.5,15,2
iid,0.65,15,2
kh,0.6,15,2
geo,0.55,30,2
hop,0.55,30,2
iid,0.65,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.5,50,2
iid,0.6,50,2
kh,0.5,50,2
geo,0.3,15,2
hop,0.25,15,2
iid,0.6,15,2
kh,0.2,15,2
geo,0.5,30,2
hop,0.45,30,2
iid,0.6,30,2
kh,0.6,30,2
geo,0.5,50,2
hop,0.65,50,2
iid,0.45,50,2
kh,0.4,50,2
geo,0.45,15,2
hop,0.45,15,2
iid,0.6,15,2
kh,0.55,15,2
geo,0.4,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.45,30,2
geo,0.45,50,2
hop,0.5,50,2
iid,0.55,50,2
kh,0.75,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.6,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.6,30,2
iid,0.6,30,2
kh,0.6,30,2
geo,0.55,50,2
hop,0.55,50,2
iid,0.7,50,2
kh,0.45,50,2
geo,0.25,15,2
hop,0.35,15,2
iid,0.3,15,2
kh,0.4,15,2
geo,0.5,30,2
hop,0.4,30,2
iid,0.6,30,2
kh,0.75,30,2
geo,0.6,50,2
hop,0.5,50,2
iid,0.55,50,2
kh,0.7,50,2
geo,0.4,15,2
hop,0.35,15,2
iid,0.3,15,2
kh,0.5,15,2
geo,0.35,30,2
hop,0.45,30,2
iid,0.4,30,2
kh,0.45,30,2
geo,0.6,50,2
hop,0.65,50,2
iid,0.6,50,2
kh,0.6,50,2
geo,0.5,15,2
hop,0.35,15,2
iid,0.45,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.4,30,2
iid,0.5,30,2
kh,0.75,30,2
geo,0.7,50,2
hop,0.6,50,2
iid,0.65,50,2
kh,0.5,50,2
geo,0.6,15,2
hop,0.5,15,2
iid,0.6,15,2
kh,0.5,15,2
geo,0.45,30,2
hop,0.55,30,2
iid,0.55,30,2
kh,0.6,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.6,50,2
kh,0.75,50,2
geo,0.5,15,2
hop,0.35,15,2
iid,0.35,15,2
kh,0.5,15,2
geo,0.35,30,2
hop,0.5,30,2
iid,0.25,30,2
kh,0.45,30,2
geo,0.55,50,2
hop,0.55,50,2
iid,0.6,50,2
kh,0.55,50,2
geo,0.4,15,2
hop,0.45,15,2
iid,0.45,15,2
kh,0.5,15,2
geo,0.3,30,2
hop,0.4,30,2
iid,0.55,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.6,50,2
kh,0.3,50,2
geo,0.15,15,2
hop,0.15,15,2
iid,0.45,15,2
kh,0.3,15,2
geo,0.5,30,2
hop,0.45,30,2
iid,0.45,30,2
kh,0.4,30,2
geo,0.55,50,2
hop,0.6,50,2
iid,0.65,50,2
kh,0.65,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.5,15,2
kh,0.5,15,2
geo,0.5,30,2
hop,0.55,30,2
iid,0.55,30,2
kh,0.55,30,2
geo,0.6,50,2
hop,0.55,50,2
iid,0.65,50,2
kh,0.7,50,2
geo,0.3,15,2
hop,0.45,15,2
iid,0.4,15,2
kh,0.55,15,2
geo,0.5,30,2
hop,0.55,30,2
iid,0.5,30,2
kh,0.4,30,2
geo,0.35,50,2
hop,0.3,50,2
iid,0.55,50,2
kh,0.3,50,2
geo,0.45,15,2
hop,0.5,15,2
iid,0.5,15,2
kh,0.5,15,2
geo,0.45,30,2
hop,0.65,30,2
iid,0.4,30,2
kh,0.6,30,2
geo,0.4,50,2
hop,0.5,50,2
iid,0.6,50,2
kh,0.55,50,2
geo,0.4,15,2
hop,0.45,15,2
iid,0.5,15,2
kh,0.75,15,2
geo,0.55,30,2
hop,0.6,30,2
iid,0.6,30,2
kh,0.7,30,2
geo,0.4,50,2
hop,0.5,50,2
iid,0.65,50,2
kh,0.6,50,2
geo,0.55,15,2
hop,0.6,15,2
iid,0.35,15,2
kh,0.3,15,2
geo,0.5,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.55,30,2
geo,0.4,50,2
hop,0.3,50,2
iid,0.5,50,2
kh,0.6,50,2
geo,0.4,15,2
hop,0.45,15,2
iid,0.5,15,2
kh,0.55,15,2
geo,0.7,30,2
hop,0.65,30,2
iid,0.55,30,2
kh,0.7,30,2
geo,0.4,50,2
hop,0.55,50,2
iid,0.6,50,2
kh,0.7,50,2
geo,0.35,15,2
hop,0.45,15,2
iid,0.4,15,2
kh,0.55,15,2
geo,0.45,30,2
hop,0.6,30,2
iid,0.45,30,2
kh,0.7,30,2
geo,0.45,50,2
hop,0.4,50,2
iid,0.8,50,2
kh,0.65,50,2
geo,0.55,15,2
hop,0.5,15,2
iid,0.5,15,2
kh,0.55,15,2
geo,0.4,30,2
hop,0.45,30,2
iid,0.45,30,2
kh,0.45,30,2
geo,0.35,50,2
hop,0.45,50,2
iid,0.55,50,2
kh,0.4,50,2
geo,0.45,15,2
hop,0.55,15,2
iid,0.7,15,2
kh,0.35,15,2
geo,0.4,30,2
hop,0.45,30,2
iid,0.5,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.65,50,2
kh,0.65,50,2
geo,0.45,15,2
hop,0.45,15,2
iid,0.35,15,2
kh,0.65,15,2
geo,0.4,30,2
hop,0.4,30,2
iid,0.45,30,2
kh,0.7,30,2
geo,0.6,50,2
hop,0.55,50,2
iid,0.75,50,2
kh,0.65,50,2
geo,0.25,15,2
hop,0.5,15,2
iid,0.1,15,2
kh,0.45,15,2
geo,0.5,30,2
hop,0.65,30,2
iid,0.65,30,2
kh,0.65,30,2
geo,0.75,50,2
hop,0.55,50,2
iid,0.5,50,2
kh,0.45,50,2
geo,0.45,15,2
hop,0.35,15,2
iid,0.4,15,2
kh,0.65,15,2
geo,0.45,30,2
hop,0.7,30,2
iid,0.6,30,2
kh,0.65,30,2
geo,0.4,50,2
hop,0.5,50,2
iid,0.35,50,2
kh,0.5,50,2
geo,0.5,15,2
hop,0.4,15,2
iid,0.65,15,2
kh,0.6,15,2
geo,0.45,30,2
hop,0.5,30,2
iid,0.4,30,2
kh,0.4,30,2
geo,0.5,50,2
hop,0.5,50,2
iid,0.6,50,2
kh,0.55,50,2
geo,0.3,15,2
hop,0.55,15,2
iid,0.4,15,2
kh,0.4,15,2
geo,0.55,30,2
hop,0.4,30,2
iid,0.5,30,2
kh,0.55,30,2
geo,0.55,50,2
hop,0.55,50,2
iid,0.5,50,2
kh,0.65,50,2
geo,0.35,15,2
hop,0.4,15,2
iid,0.55,15,2
kh,0.6,15,2
geo,0.45,30,2
hop,0.7,30,2
iid,0.55,30,2
kh,0.6,30,2
geo,0.55,50,2
hop,0.45,50,2
iid,0.6,50,2
kh,0.8,50,2
geo,0.5,15,2
hop,0.45,15,2
iid,0.5,15,2
kh,0.45,15,2
geo,0.4,30,2
hop,0.4,30,2
iid,0.55,30,2
kh,0.55,30,2
geo,0.6,50,2
hop,0.6,50,2
iid,0.55,50,2
kh,0.6,50,2
geo,0.45,15,2
hop,0.5,15,2
iid,0.35,15,2
kh,0.65,15,2
geo,0.4,30,2
hop,0.5,30,2
iid,0.45,30,2
kh,0.55,30,2
geo,0.6,50,2
hop,0.7,50,2
iid,0.75,50,2
kh,0.7,50,2
geo,0.55,15,2
hop,0.5,15,2
iid,0.6,15,2
kh,0.45,15,2
geo,0.6,30,2
hop,0.65,30,2
iid,0.5,30,2
kh,0.7,30,2
geo,0.55,50,2
hop,0.45,50,2
iid,0.65,50,2
kh,0.5,50,2
geo,0.35,15,2
hop,0.3,15,2
iid,0.35,15,2
kh,0.45,15,2
geo,0.45,30,2
hop,0.5,30,2
iid,0.4,30,2
kh,0.5,30,2
geo,0.45,50,2
hop,0.45,50,2
iid,0.75,50,2
kh,0.5,50,2
geo,0.4,15,2
hop,0.35,15,2
iid,0.7,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.6,30,2
iid,0.6,30,2
kh,0.55,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.4,50,2
kh,0.65,50,2
geo,0.3,15,2
hop,0.4,15,2
iid,0.5,15,2
kh,0.45,15,2
geo,0.5,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.55,30,2
geo,0.7,50,2
hop,0.65,50,2
iid,0.65,50,2
kh,0.6,50,2
geo,0.15,15,2
hop,0.25,15,2
iid,0.3,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.55,30,2
iid,0.4,30,2
kh,0.4,30,2
geo,0.55,50,2
hop,0.6,50,2
iid,0.55,50,2
kh,0.4,50,2
geo,0.6,15,2
hop,0.35,15,2
iid,0.65,15,2
kh,0.4,15,2
geo,0.75,30,2
hop,0.85,30,2
iid,0.7,30,2
kh,0.7,30,2
geo,0.5,50,2
hop,0.45,50,2
iid,0.65,50,2
kh,0.45,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.3,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.45,30,2
iid,0.25,30,2
kh,0.55,30,2
geo,0.7,50,2
hop,0.6,50,2
iid,0.75,50,2
kh,0.7,50,2
geo,0.5,15,2
hop,0.6,15,2
iid,0.55,15,2
kh,0.7,15,2
geo,0.2,30,2
hop,0.25,30,2
iid,0.2,30,2
kh,0.3,30,2
geo,0.55,50,2
hop,0.6,50,2
iid,0.9,50,2
kh,0.8,50,2
geo,0.45,15,2
hop,0.3,15,2
iid,0.55,15,2
kh,0.5,15,2
geo,0.4,30,2
hop,0.5,30,2
iid,0.55,30,2
kh,0.55,30,2
geo,0.55,50,2
hop,0.6,50,2
iid,0.45,50,2
kh,0.45,50,2
geo,0.45,15,2
hop,0.5,15,2
iid,0.55,15,2
kh,0.75,15,2
geo,0.4,30,2
hop,0.45,30,2
iid,0.55,30,2
kh,0.6,30,2
geo,0.45,50,2
hop,0.6,50,2
iid,0.75,50,2
kh,0.7,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.45,15,2
kh,0.5,15,2
geo,0.4,30,2
hop,0.55,30,2
iid,0.65,30,2
kh,0.55,30,2
geo,0.55,50,2
hop,0.45,50,2
iid,0.6,50,2
kh,0.5,50,2
geo,0.6,15,2
hop,0.5,15,2
iid,0.45,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.5,30,2
iid,0.7,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.45,50,2
kh,0.6,50,2
geo,0.25,15,2
hop,0.3,15,2
iid,0.45,15,2
kh,0.4,15,2
geo,0.3,30,2
hop,0.3,30,2
iid,0.5,30,2
kh,0.6,30,2
geo,0.75,50,2
hop,0.65,50,2
iid,0.7,50,2
kh,0.75,50,2
geo,0.45,15,2
hop,0.5,15,2
iid,0.4,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.5,30,2
iid,0.5,30,2
kh,0.45,30,2
geo,0.55,50,2
hop,0.55,50,2
iid,0.5,50,2
kh,0.45,50,2
geo,0.6,15,2
hop,0.6,15,2
iid,0.6,15,2
kh,0.5,15,2
geo,0.65,30,2
hop,0.6,30,2
iid,0.65,30,2
kh,0.65,30,2
geo,0.7,50,2
hop,0.45,50,2
iid,0.85,50,2
kh,0.7,50,2
geo,0.55,15,2
hop,0.55,15,2
iid,0.6,15,2
kh,0.7,15,2
geo,0.55,30,2
hop,0.55,30,2
iid,0.6,30,2
kh,0.8,30,2
geo,0.35,50,2
hop,0.35,50,2
iid,0.55,50,2
kh,0.3,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.45,15,2
kh,0.5,15,2
geo,0.55,30,2
hop,0.6,30,2
iid,0.6,30,2
kh,0.6,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.8,50,2
kh,0.55,50,2
geo,0.55,15,2
hop,0.5,15,2
iid,0.55,15,2
kh,0.35,15,2
geo,0.55,30,2
hop,0.65,30,2
iid,0.6,30,2
kh,0.6,30,2
geo,0.55,50,2
hop,0.55,50,2
iid,0.5,50,2
kh,0.5,50,2
geo,0.35,15,2
hop,0.4,15,2
iid,0.4,15,2
kh,0.45,15,2
geo,0.5,30,2
hop,0.55,30,2
iid,0.4,30,2
kh,0.65,30,2
geo,0.4,50,2
hop,0.45,50,2
iid,0.65,50,2
kh,0.45,50,2
geo,0.4,15,2
hop,0.6,15,2
iid,0.55,15,2
kh,0.75,15,2
geo,0.4,30,2
hop,0.45,30,2
iid,0.45,30,2
kh,0.4,30,2
geo,0.55,50,2
hop,0.5,50,2
iid,0.65,50,2
kh,0.55,50,2
geo,0.3,15,2
hop,0.4,15,2
iid,0.35,15,2
kh,0.55,15,2
geo,0.3,30,2
hop,0.3,30,2
iid,0.3,30,2
kh,0.45,30,2
geo,0.6,50,2
hop,0.7,50,2
iid,0.6,50,2
kh,0.65,50,2
geo,0.45,15,2
hop,0.55,15,2
iid,0.5,15,2
kh,0.45,15,2
geo,0.3,30,2
hop,0.7,30,2
iid,0.45,30,2
kh,0.5,30,2
geo,0.6,50,2
hop,0.75,50,2
iid,0.6,50,2
kh,0.6,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.5,15,2
kh,0.5,15,2
geo,0.5,30,2
hop,0.55,30,2
iid,0.6,30,2
kh,0.7,30,2
geo,0.5,50,2
hop,0.45,50,2
iid,0.5,50,2
kh,0.65,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.5,15,2
kh,0.6,15,2
geo,0.35,30,2
hop,0.3,30,2
iid,0.5,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.55,50,2
kh,0.4,50,2
geo,0.35,15,2
hop,0.35,15,2
iid,0.4,15,2
kh,0.45,15,2
geo,0.5,30,2
hop,0.6,30,2
iid,0.5,30,2
kh,0.5,30,2
geo,0.45,50,2
hop,0.45,50,2
iid,0.55,50,2
kh,0.7,50,2
geo,0.4,15,2
hop,0.55,15,2
iid,0.5,15,2
kh,0.6,15,2
geo,0.45,30,2
hop,0.5,30,2
iid,0.65,30,2
kh,0.6,30,2
geo,0.45,50,2
hop,0.55,50,2
iid,0.7,50,2
kh,0.7,50,2
geo,0.45,15,2
hop,0.5,15,2
iid,0.35,15,2
kh,0.3,15,2
geo,0.55,30,2
hop,0.55,30,2
iid,0.6,30,2
kh,0.55,30,2
geo,0.4,50,2
hop,0.5,50,2
iid,0.6,50,2
kh,0.55,50,2
geo,0.5,15,2
hop,0.35,15,2
iid,0.55,15,2
kh,0.5,15,2
geo,0.6,30,2
hop,0.55,30,2
iid,0.3,30,2
kh,0.55,30,2
geo,0.45,50,2
hop,0.5,50,2
iid,0.7,50,2
kh,0.6,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.45,15,2
kh,0.45,15,2
geo,0.55,30,2
hop,0.75,30,2
iid,0.5,30,2
kh,0.45,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.6,50,2
kh,0.65,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.55,15,2
kh,0.45,15,2
geo,0.45,30,2
hop,0.65,30,2
iid,0.6,30,2
kh,0.6,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.7,50,2
kh,0.75,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.55,15,2
kh,0.65,15,2
geo,0.4,30,2
hop,0.55,30,2
iid,0.6,30,2
kh,0.65,30,2
geo,0.25,50,2
hop,0.25,50,2
iid,0.7,50,2
kh,0.4,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.45,15,2
kh,0.45,15,2
geo,0.45,30,2
hop,0.45,30,2
iid,0.6,30,2
kh,0.5,30,2
geo,0.45,50,2
hop,0.65,50,2
iid,0.6,50,2
kh,0.65,50,2
geo,0.5,15,2
hop,0.5,15,2
iid,0.5,15,2
kh,0.55,15,2
geo,0.6,30,2
hop,0.7,30,2
iid,0.5,30,2
kh,0.55,30,2
geo,0.45,50,2
hop,0.5,50,2
iid,0.65,50,2
kh,0.45,50,2
geo,0.35,15,2
hop,0.55,15,2
iid,0.6,15,2
kh,0.7,15,2
geo,0.45,30,2
hop,0.45,30,2
iid,0.5,30,2
kh,0.45,30,2
geo,0.75,50,2
hop,0.7,50,2
iid,0.8,50,2
kh,0.5,50,2
geo,0.45,15,2
hop,0.35,15,2
iid,0.55,15,2
kh,0.75,15,2
geo,0.6,30,2
hop,0.65,30,2
iid,0.5,30,2
kh,0.45,30,2
geo,0.55,50,2
hop,0.7,50,2
iid,0.6,50,2
kh,0.55,50,2
geo,0.45,15,2
hop,0.4,15,2
iid,0.35,15,2
kh,0.5,15,2
geo,0.45,30,2
hop,0.5,30,2
iid,0.65,30,2
kh,0.45,30,2
geo,0.4,50,2
hop,0.65,50,2
iid,0.75,50,2
kh,0.45,50,2
geo,0.5,15,2
hop,0.45,15,2
iid,0.4,15,2
kh,0.45,15,2
geo,0.4,30,2
hop,0.6,30,2
iid,0.35,30,2
kh,0.3,30,2
geo,0.65,50,2
hop,0.7,50,2
iid,0.5,50,2
kh,0.7,50,2
geo,0.3,15,2
hop,0.3,15,2
iid,0.4,15,2
kh,0.5,15,2
geo,0.55,30,2
hop,0.55,30,2
iid,0.35,30,2
kh,0.55,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.65,50,2
kh,0.6,50,2
geo,0.35,15,2
hop,0.4,15,2
iid,0.45,15,2
kh,0.5,15,2
geo,0.5,30,2
hop,0.75,30,2
iid,0.5,30,2
kh,0.6,30,2
geo,0.4,50,2
hop,0.5,50,2
iid,0.65,50,2
kh,0.6,50,2
geo,0.35,15,2
hop,0.6,15,2
iid,0.4,15,2
kh,0.5,15,2
geo,0.35,30,2
hop,0.3,30,2
iid,0.5,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.6,50,2
iid,0.6,50,2
kh,0.6,50,2
geo,0.3,15,2
hop,0.25,15,2
iid,0.35,15,2
kh,0.6,15,2
geo,0.3,30,2
hop,0.4,30,2
iid,0.5,30,2
kh,0.3,30,2
geo,0.4,50,2
hop,0.4,50,2
iid,0.45,50,2
kh,0.3,50,2
geo,0.55,15,2
hop,0.5,15,2
iid,0.4,15,2
kh,0.5,15,2
geo,0.45,30,2
hop,0.4,30,2
iid,0.55,30,2
kh,0.65,30,2
geo,0.35,50,2
hop,0.35,50,2
iid,0.65,50,2
kh,0.75,50,2
geo,0.3,15,2
hop,0.35,15,2
iid,0.35,15,2
kh,0.35,15,2
geo,0.5,30,2
hop,0.35,30,2
iid,0.35,30,2
kh,0.45,30,2
geo,0.5,50,2
hop,0.45,50,2
iid,0.65,50,2
kh,0.75,50,2
geo,0.3,15,2
hop,0.3,15,2
iid,0.5,15,2
kh,0.55,15,2
geo,0.4,30,2
hop,0.5,30,2
iid,0.7,30,2
kh,0.5,30,2
geo,0.5,50,2
hop,0.55,50,2
iid,0.7,50,2
kh,0.75,50,2
geo,0.4,15,2
hop,0.35,15,2
iid,0.35,15,2
kh,0.5,15,2
geo,0.25,30,2
hop,0.35,30,2
iid,0.25,30,2
kh,0.4,30,2
geo,0.4,50,2
