subsampling,Acc,clusters,method
hop,0.48888888888888893,15,2
iid,0.5777777777777777,15,2
kh,0.6666666666666667,15,2
geo,0.37777777777777777,30,2
hop,0.5333333333333333,30,2
iid,0.6666666666666667,30,2
kh,0.6222222222222222,30,2
geo,0.4,50,2
hop,0.4888888888888888,50,2
iid,0.5333333333333333,50,2
kh,0.5333333333333334,50,2
geo,0.48888888888888893,15,2
hop,0.48888888888888893,15,2
iid,0.6222222222222222,15,2
kh,0.5777777777777777,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.6,30,2
kh,0.5111111111111111,30,2
geo,0.5111111111111111,50,2
hop,0.5111111111111111,50,2
iid,0.5777777777777777,50,2
kh,0.5777777777777777,50,2
geo,0.6,15,2
hop,0.5333333333333333,15,2
iid,0.711111111111111,15,2
kh,0.5555555555555556,15,2
geo,0.4,30,2
hop,0.3555555555555555,30,2
iid,0.5111111111111111,30,2
kh,0.5111111111111111,30,2
geo,0.37777777777777777,50,2
hop,0.37777777777777777,50,2
iid,0.4666666666666667,50,2
kh,0.4222222222222222,50,2
geo,0.5555555555555556,15,2
hop,0.4,15,2
iid,0.5111111111111111,15,2
kh,0.5777777777777777,15,2
geo,0.3555555555555555,30,2
hop,0.3555555555555555,30,2
iid,0.5777777777777777,30,2
kh,0.5555555555555556,30,2
geo,0.3555555555555555,50,2
hop,0.4444444444444445,50,2
iid,0.4888888888888888,50,2
kh,0.4222222222222222,50,2
geo,0.4888888888888888,15,2
hop,0.6444444444444445,15,2
iid,0.7333333333333333,15,2
kh,0.6666666666666667,15,2
geo,0.26666666666666666,30,2
hop,0.3555555555555555,30,2
iid,0.4666666666666666,30,2
kh,0.5777777777777777,30,2
geo,0.4444444444444445,50,2
hop,0.4666666666666666,50,2
iid,0.5555555555555556,50,2
kh,0.6666666666666666,50,2
geo,0.4666666666666666,15,2
hop,0.4,15,2
iid,0.5777777777777777,15,2
kh,0.6444444444444445,15,2
geo,0.3333333333333333,30,2
hop,0.4,30,2
iid,0.4444444444444445,30,2
kh,0.5555555555555556,30,2
geo,0.4666666666666666,50,2
hop,0.3555555555555555,50,2
iid,0.5777777777777777,50,2
kh,0.5111111111111111,50,2
geo,0.48888888888888893,15,2
hop,0.48888888888888893,15,2
iid,0.6666666666666666,15,2
kh,0.6222222222222222,15,2
geo,0.5111111111111111,30,2
hop,0.4444444444444445,30,2
iid,0.5777777777777777,30,2
kh,0.6222222222222222,30,2
geo,0.4222222222222222,50,2
hop,0.37777777777777777,50,2
iid,0.4666666666666667,50,2
kh,0.48888888888888893,50,2
geo,0.48888888888888893,15,2
hop,0.48888888888888893,15,2
iid,0.5555555555555556,15,2
kh,0.6444444444444445,15,2
geo,0.4444444444444445,30,2
hop,0.5111111111111111,30,2
iid,0.5777777777777777,30,2
kh,0.5555555555555556,30,2
geo,0.4222222222222222,50,2
hop,0.48888888888888893,50,2
iid,0.5333333333333333,50,2
kh,0.6222222222222222,50,2
geo,0.4666666666666666,15,2
hop,0.5555555555555556,15,2
iid,0.6666666666666666,15,2
kh,0.5555555555555556,15,2
geo,0.3555555555555555,30,2
hop,0.3555555555555555,30,2
iid,0.5333333333333333,30,2
kh,0.4666666666666666,30,2
geo,0.4,50,2
hop,0.4444444444444445,50,2
iid,0.5555555555555556,50,2
kh,0.5777777777777777,50,2
geo,0.4,15,2
hop,0.4666666666666666,15,2
iid,0.6222222222222222,15,2
kh,0.5777777777777777,15,2
geo,0.4444444444444445,30,2
hop,0.4666666666666667,30,2
iid,0.4222222222222222,30,2
kh,0.6222222222222222,30,2
geo,0.4666666666666667,50,2
hop,0.4888888888888888,50,2
iid,0.4666666666666666,50,2
kh,0.4666666666666667,50,2
geo,0.3333333333333333,15,2
hop,0.37777777777777777,15,2
iid,0.6444444444444445,15,2
kh,0.5777777777777777,15,2
geo,0.4222222222222222,30,2
hop,0.3555555555555555,30,2
iid,0.4222222222222222,30,2
kh,0.4666666666666666,30,2
geo,0.3555555555555555,50,2
hop,0.3333333333333333,50,2
iid,0.5111111111111111,50,2
kh,0.5333333333333333,50,2
geo,0.48888888888888893,15,2
hop,0.5333333333333333,15,2
iid,0.5333333333333333,15,2
kh,0.5333333333333333,15,2
geo,0.4444444444444445,30,2
hop,0.4666666666666666,30,2
iid,0.5333333333333333,30,2
kh,0.5777777777777777,30,2
geo,0.37777777777777777,50,2
hop,0.3555555555555555,50,2
iid,0.4444444444444445,50,2
kh,0.48888888888888893,50,2
geo,0.28888888888888886,15,2
hop,0.3555555555555555,15,2
iid,0.4666666666666666,15,2
kh,0.4666666666666666,15,2
geo,0.4666666666666666,30,2
hop,0.4222222222222222,30,2
iid,0.6,30,2
kh,0.5111111111111111,30,2
geo,0.3555555555555555,50,2
hop,0.3555555555555555,50,2
iid,0.5111111111111111,50,2
kh,0.5555555555555556,50,2
geo,0.48888888888888893,15,2
hop,0.4222222222222222,15,2
iid,0.5333333333333333,15,2
kh,0.6222222222222221,15,2
geo,0.5111111111111111,30,2
hop,0.4222222222222222,30,2
iid,0.5555555555555556,30,2
kh,0.5333333333333334,30,2
geo,0.4666666666666666,50,2
hop,0.4,50,2
iid,0.5777777777777777,50,2
kh,0.6444444444444445,50,2
geo,0.4222222222222222,15,2
hop,0.4444444444444445,15,2
iid,0.5111111111111111,15,2
kh,0.5555555555555556,15,2
geo,0.37777777777777777,30,2
hop,0.4222222222222222,30,2
iid,0.4888888888888888,30,2
kh,0.4888888888888888,30,2
geo,0.4666666666666666,50,2
hop,0.4,50,2
iid,0.6444444444444445,50,2
kh,0.5555555555555556,50,2
geo,0.4,15,2
hop,0.37777777777777777,15,2
iid,0.4444444444444445,15,2
kh,0.5333333333333333,15,2
geo,0.37777777777777777,30,2
hop,0.3333333333333333,30,2
iid,0.5111111111111111,30,2
kh,0.5111111111111111,30,2
geo,0.4888888888888888,50,2
hop,0.4888888888888888,50,2
iid,0.4888888888888888,50,2
kh,0.5333333333333333,50,2
geo,0.5111111111111111,15,2
hop,0.4,15,2
iid,0.5777777777777777,15,2
kh,0.5777777777777777,15,2
geo,0.4444444444444445,30,2
hop,0.3333333333333333,30,2
iid,0.37777777777777777,30,2
kh,0.37777777777777777,30,2
geo,0.37777777777777777,50,2
hop,0.37777777777777777,50,2
iid,0.4444444444444445,50,2
kh,0.4,50,2
geo,0.4444444444444445,15,2
hop,0.3333333333333333,15,2
iid,0.37777777777777777,15,2
kh,0.6222222222222222,15,2
geo,0.4666666666666667,30,2
hop,0.4444444444444445,30,2
iid,0.6444444444444445,30,2
kh,0.5333333333333333,30,2
geo,0.4444444444444445,50,2
hop,0.6444444444444445,50,2
iid,0.5777777777777777,50,2
kh,0.6,50,2
geo,0.5777777777777777,15,2
hop,0.5111111111111111,15,2
iid,0.5555555555555556,15,2
kh,0.7333333333333333,15,2
geo,0.5111111111111111,30,2
hop,0.5555555555555556,30,2
iid,0.5777777777777777,30,2
kh,0.5333333333333333,30,2
geo,0.3111111111111111,50,2
hop,0.4,50,2
iid,0.5777777777777777,50,2
kh,0.5777777777777777,50,2
geo,0.4,15,2
hop,0.4222222222222222,15,2
iid,0.4666666666666666,15,2
kh,0.7555555555555555,15,2
geo,0.37777777777777777,30,2
hop,0.4222222222222222,30,2
iid,0.5555555555555556,30,2
kh,0.6222222222222222,30,2
geo,0.5333333333333333,50,2
hop,0.5333333333333333,50,2
iid,0.711111111111111,50,2
kh,0.6222222222222222,50,2
geo,0.4,15,2
hop,0.4444444444444445,15,2
iid,0.48888888888888893,15,2
kh,0.4444444444444445,15,2
geo,0.37777777777777777,30,2
hop,0.28888888888888886,30,2
iid,0.42222222222222217,30,2
kh,0.4,30,2
geo,0.5333333333333333,50,2
hop,0.5777777777777777,50,2
iid,0.6666666666666666,50,2
kh,0.5555555555555556,50,2
geo,0.48888888888888893,15,2
hop,0.4222222222222222,15,2
iid,0.4666666666666666,15,2
kh,0.4222222222222222,15,2
geo,0.3555555555555555,30,2
hop,0.3333333333333333,30,2
iid,0.4,30,2
kh,0.3555555555555555,30,2
geo,0.39999999999999997,50,2
hop,0.37777777777777777,50,2
iid,0.48888888888888893,50,2
kh,0.4,50,2
geo,0.5555555555555556,15,2
hop,0.6222222222222222,15,2
iid,0.6,15,2
kh,0.6666666666666666,15,2
geo,0.37777777777777777,30,2
hop,0.3333333333333333,30,2
iid,0.4444444444444445,30,2
kh,0.5777777777777777,30,2
geo,0.37777777777777777,50,2
hop,0.4444444444444445,50,2
iid,0.5333333333333333,50,2
kh,0.6888888888888889,50,2
geo,0.48888888888888893,15,2
hop,0.5555555555555556,15,2
iid,0.5333333333333333,15,2
kh,0.6222222222222222,15,2
geo,0.4888888888888888,30,2
hop,0.4,30,2
iid,0.6666666666666666,30,2
kh,0.6,30,2
geo,0.4444444444444445,50,2
hop,0.4,50,2
iid,0.4888888888888888,50,2
kh,0.6222222222222222,50,2
geo,0.6222222222222222,15,2
hop,0.6,15,2
iid,0.6666666666666666,15,2
kh,0.7555555555555555,15,2
geo,0.5333333333333333,30,2
hop,0.4222222222222222,30,2
iid,0.6222222222222221,30,2
kh,0.5333333333333333,30,2
geo,0.3333333333333333,50,2
hop,0.48888888888888893,50,2
iid,0.6444444444444445,50,2
kh,0.5555555555555556,50,2
geo,0.37777777777777777,15,2
hop,0.3111111111111111,15,2
iid,0.33333333333333337,15,2
kh,0.37777777777777777,15,2
geo,0.3555555555555555,30,2
hop,0.37777777777777777,30,2
iid,0.4666666666666666,30,2
kh,0.48888888888888893,30,2
geo,0.3333333333333333,50,2
hop,0.3555555555555555,50,2
iid,0.6,50,2
kh,0.5555555555555556,50,2
geo,0.3555555555555555,15,2
hop,0.37777777777777777,15,2
iid,0.4222222222222222,15,2
kh,0.5333333333333333,15,2
geo,0.4666666666666667,30,2
hop,0.4666666666666666,30,2
iid,0.5111111111111111,30,2
kh,0.48888888888888893,30,2
geo,0.3555555555555555,50,2
hop,0.37777777777777777,50,2
iid,0.4,50,2
kh,0.4222222222222222,50,2
geo,0.4444444444444445,15,2
hop,0.5777777777777777,15,2
iid,0.5777777777777777,15,2
kh,0.6222222222222222,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.5111111111111112,30,2
kh,0.5333333333333333,30,2
geo,0.5111111111111111,50,2
hop,0.4222222222222222,50,2
iid,0.6222222222222222,50,2
kh,0.5333333333333333,50,2
geo,0.4888888888888888,15,2
hop,0.5777777777777777,15,2
iid,0.5333333333333333,15,2
kh,0.5555555555555556,15,2
geo,0.4444444444444445,30,2
hop,0.4,30,2
iid,0.4444444444444445,30,2
kh,0.5555555555555556,30,2
geo,0.4222222222222222,50,2
hop,0.4666666666666666,50,2
iid,0.4888888888888888,50,2
kh,0.6222222222222221,50,2
geo,0.4444444444444445,15,2
hop,0.4444444444444445,15,2
iid,0.4666666666666666,15,2
kh,0.5777777777777777,15,2
geo,0.4,30,2
hop,0.31111111111111106,30,2
iid,0.48888888888888893,30,2
kh,0.4444444444444445,30,2
geo,0.3555555555555555,50,2
hop,0.3333333333333333,50,2
iid,0.5111111111111111,50,2
kh,0.6,50,2
geo,0.6,15,2
hop,0.5555555555555556,15,2
iid,0.6222222222222222,15,2
kh,0.6666666666666666,15,2
geo,0.4,30,2
hop,0.4,30,2
iid,0.48888888888888893,30,2
kh,0.5333333333333334,30,2
geo,0.4222222222222222,50,2
hop,0.48888888888888893,50,2
iid,0.5777777777777777,50,2
kh,0.5111111111111111,50,2
geo,0.48888888888888893,15,2
hop,0.4,15,2
iid,0.5111111111111111,15,2
kh,0.6444444444444445,15,2
geo,0.5111111111111111,30,2
hop,0.4444444444444445,30,2
iid,0.5111111111111111,30,2
kh,0.5777777777777777,30,2
geo,0.3333333333333333,50,2
hop,0.4222222222222222,50,2
iid,0.4444444444444445,50,2
kh,0.5111111111111111,50,2
geo,0.4666666666666666,15,2
hop,0.6222222222222222,15,2
iid,0.5111111111111111,15,2
kh,0.6222222222222222,15,2
geo,0.3333333333333333,30,2
hop,0.48888888888888893,30,2
iid,0.4666666666666667,30,2
kh,0.5111111111111111,30,2
geo,0.31111111111111106,50,2
hop,0.5111111111111111,50,2
iid,0.4,50,2
kh,0.5333333333333333,50,2
geo,0.4222222222222222,15,2
hop,0.48888888888888893,15,2
iid,0.6,15,2
kh,0.6444444444444445,15,2
geo,0.3555555555555555,30,2
hop,0.5111111111111111,30,2
iid,0.5111111111111111,30,2
kh,0.5555555555555556,30,2
geo,0.28888888888888886,50,2
hop,0.4222222222222222,50,2
iid,0.48888888888888893,50,2
kh,0.4666666666666666,50,2
geo,0.48888888888888893,15,2
hop,0.5111111111111111,15,2
iid,0.6222222222222222,15,2
kh,0.6666666666666666,15,2
geo,0.3555555555555555,30,2
hop,0.37777777777777777,30,2
iid,0.4222222222222222,30,2
kh,0.4444444444444445,30,2
geo,0.4,50,2
hop,0.4888888888888888,50,2
iid,0.5111111111111111,50,2
kh,0.5555555555555556,50,2
geo,0.4222222222222222,15,2
hop,0.5111111111111111,15,2
iid,0.6,15,2
kh,0.6666666666666667,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.6,30,2
kh,0.6222222222222222,30,2
geo,0.48888888888888893,50,2
hop,0.4222222222222222,50,2
iid,0.5111111111111111,50,2
kh,0.5333333333333333,50,2
geo,0.48888888888888893,15,2
hop,0.48888888888888893,15,2
iid,0.5333333333333333,15,2
kh,0.5555555555555556,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.4,30,2
kh,0.4222222222222222,30,2
geo,0.4222222222222222,50,2
hop,0.5333333333333333,50,2
iid,0.5555555555555556,50,2
kh,0.6222222222222222,50,2
geo,0.48888888888888893,15,2
hop,0.5555555555555556,15,2
iid,0.6222222222222222,15,2
kh,0.6888888888888889,15,2
geo,0.42222222222222217,30,2
hop,0.4444444444444445,30,2
iid,0.5555555555555556,30,2
kh,0.5777777777777777,30,2
geo,0.37777777777777777,50,2
hop,0.48888888888888893,50,2
iid,0.5111111111111111,50,2
kh,0.48888888888888893,50,2
geo,0.4,15,2
hop,0.48888888888888893,15,2
iid,0.5111111111111111,15,2
kh,0.5555555555555556,15,2
geo,0.4,30,2
hop,0.3555555555555555,30,2
iid,0.5777777777777777,30,2
kh,0.5555555555555556,30,2
geo,0.31111111111111106,50,2
hop,0.4,50,2
iid,0.5333333333333333,50,2
kh,0.6222222222222222,50,2
geo,0.5111111111111111,15,2
hop,0.5777777777777777,15,2
iid,0.6888888888888889,15,2
kh,0.48888888888888893,15,2
geo,0.37777777777777777,30,2
hop,0.4,30,2
iid,0.5777777777777777,30,2
kh,0.5333333333333333,30,2
geo,0.3333333333333333,50,2
hop,0.37777777777777777,50,2
iid,0.711111111111111,50,2
kh,0.6888888888888889,50,2
geo,0.4444444444444445,15,2
hop,0.48888888888888893,15,2
iid,0.6888888888888889,15,2
kh,0.5777777777777777,15,2
geo,0.4222222222222222,30,2
hop,0.4,30,2
iid,0.5111111111111111,30,2
kh,0.4666666666666666,30,2
geo,0.3555555555555555,50,2
hop,0.4444444444444445,50,2
iid,0.5555555555555556,50,2
kh,0.4444444444444445,50,2
geo,0.5777777777777777,15,2
hop,0.5333333333333333,15,2
iid,0.7333333333333333,15,2
kh,0.5555555555555556,15,2
geo,0.5111111111111111,30,2
hop,0.5555555555555556,30,2
iid,0.5333333333333333,30,2
kh,0.6444444444444445,30,2
geo,0.3333333333333333,50,2
hop,0.4,50,2
iid,0.4666666666666666,50,2
kh,0.5777777777777777,50,2
geo,0.42222222222222217,15,2
hop,0.4666666666666667,15,2
iid,0.5555555555555556,15,2
kh,0.5333333333333333,15,2
geo,0.4888888888888888,30,2
hop,0.31111111111111106,30,2
iid,0.6222222222222222,30,2
kh,0.7333333333333333,30,2
geo,0.37777777777777777,50,2
hop,0.4666666666666666,50,2
iid,0.4222222222222222,50,2
kh,0.5111111111111111,50,2
geo,0.4888888888888888,15,2
hop,0.5333333333333333,15,2
iid,0.711111111111111,15,2
kh,0.5111111111111111,15,2
geo,0.4444444444444445,30,2
hop,0.4222222222222222,30,2
iid,0.5333333333333333,30,2
kh,0.5555555555555556,30,2
geo,0.4666666666666667,50,2
hop,0.4222222222222222,50,2
iid,0.5777777777777777,50,2
kh,0.6222222222222222,50,2
geo,0.5555555555555556,15,2
hop,0.6,15,2
iid,0.6666666666666666,15,2
kh,0.6888888888888889,15,2
geo,0.37777777777777777,30,2
hop,0.4222222222222222,30,2
iid,0.4444444444444445,30,2
kh,0.4,30,2
geo,0.4444444444444445,50,2
hop,0.4666666666666666,50,2
iid,0.37777777777777777,50,2
kh,0.6222222222222222,50,2
geo,0.4222222222222222,15,2
hop,0.5333333333333334,15,2
iid,0.7333333333333333,15,2
kh,0.6666666666666667,15,2
geo,0.42222222222222217,30,2
hop,0.4,30,2
iid,0.4444444444444445,30,2
kh,0.5555555555555556,30,2
geo,0.37777777777777777,50,2
hop,0.4222222222222222,50,2
iid,0.6,50,2
kh,0.5555555555555556,50,2
geo,0.5111111111111111,15,2
hop,0.5333333333333334,15,2
iid,0.6,15,2
kh,0.5555555555555556,15,2
geo,0.4,30,2
hop,0.5555555555555556,30,2
iid,0.6444444444444445,30,2
kh,0.6444444444444445,30,2
geo,0.3555555555555555,50,2
hop,0.4222222222222222,50,2
iid,0.5333333333333333,50,2
kh,0.6444444444444445,50,2
geo,0.3333333333333333,15,2
hop,0.5333333333333333,15,2
iid,0.711111111111111,15,2
kh,0.6444444444444445,15,2
geo,0.3555555555555555,30,2
hop,0.4444444444444445,30,2
iid,0.6222222222222222,30,2
kh,0.6,30,2
geo,0.33333333333333337,50,2
hop,0.4,50,2
iid,0.5111111111111111,50,2
kh,0.5111111111111111,50,2
geo,0.37777777777777777,15,2
hop,0.4,15,2
iid,0.6,15,2
kh,0.6,15,2
geo,0.4888888888888888,30,2
hop,0.37777777777777777,30,2
iid,0.6,30,2
kh,0.5111111111111111,30,2
geo,0.37777777777777777,50,2
hop,0.48888888888888893,50,2
iid,0.5111111111111111,50,2
kh,0.5555555555555556,50,2
geo,0.37777777777777777,15,2
hop,0.4666666666666667,15,2
iid,0.5333333333333333,15,2
kh,0.5111111111111111,15,2
geo,0.4888888888888888,30,2
hop,0.4222222222222222,30,2
iid,0.48888888888888893,30,2
kh,0.5111111111111111,30,2
geo,0.37777777777777777,50,2
hop,0.4666666666666666,50,2
iid,0.5555555555555556,50,2
kh,0.6222222222222222,50,2
geo,0.4,15,2
hop,0.4222222222222222,15,2
iid,0.6888888888888889,15,2
kh,0.5555555555555556,15,2
geo,0.37777777777777777,30,2
hop,0.4444444444444445,30,2
iid,0.5111111111111111,30,2
kh,0.5777777777777777,30,2
geo,0.3333333333333333,50,2
hop,0.4666666666666666,50,2
iid,0.4222222222222222,50,2
kh,0.5777777777777777,50,2
geo,0.48888888888888893,15,2
hop,0.4666666666666666,15,2
iid,0.6444444444444445,15,2
kh,0.6444444444444445,15,2
geo,0.4,30,2
hop,0.5111111111111111,30,2
iid,0.6444444444444445,30,2
kh,0.4222222222222222,30,2
geo,0.3555555555555555,50,2
hop,0.4,50,2
iid,0.6,50,2
kh,0.6222222222222222,50,2
geo,0.5111111111111111,15,2
hop,0.5111111111111111,15,2
iid,0.6888888888888889,15,2
kh,0.6222222222222222,15,2
geo,0.3555555555555555,30,2
hop,0.3555555555555555,30,2
iid,0.4222222222222222,30,2
kh,0.5111111111111111,30,2
geo,0.3111111111111111,50,2
hop,0.28888888888888886,50,2
iid,0.4888888888888888,50,2
kh,0.48888888888888893,50,2
geo,0.4444444444444445,15,2
hop,0.4444444444444445,15,2
iid,0.5333333333333333,15,2
kh,0.5555555555555556,15,2
geo,0.48888888888888893,30,2
hop,0.5333333333333333,30,2
iid,0.6,30,2
kh,0.6222222222222222,30,2
geo,0.4222222222222222,50,2
hop,0.4,50,2
iid,0.5111111111111111,50,2
kh,0.5555555555555556,50,2
geo,0.4,15,2
hop,0.4,15,2
iid,0.4666666666666666,15,2
kh,0.6888888888888889,15,2
geo,0.48888888888888893,30,2
hop,0.4222222222222222,30,2
iid,0.5333333333333334,30,2
kh,0.5555555555555556,30,2
geo,0.4,50,2
hop,0.4888888888888888,50,2
iid,0.5777777777777777,50,2
kh,0.5555555555555556,50,2
geo,0.6,15,2
hop,0.5555555555555556,15,2
iid,0.6,15,2
kh,0.6666666666666666,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.5777777777777777,30,2
kh,0.5333333333333333,30,2
geo,0.3555555555555555,50,2
hop,0.5555555555555556,50,2
iid,0.5111111111111111,50,2
kh,0.37777777777777777,50,2
geo,0.5111111111111111,15,2
hop,0.4444444444444445,15,2
iid,0.5111111111111111,15,2
kh,0.6222222222222222,15,2
geo,0.37777777777777777,30,2
hop,0.37777777777777777,30,2
iid,0.4,30,2
kh,0.4444444444444445,30,2
geo,0.4,50,2
hop,0.3555555555555555,50,2
iid,0.28888888888888886,50,2
kh,0.3555555555555555,50,2
geo,0.4888888888888888,15,2
hop,0.4444444444444445,15,2
iid,0.5555555555555556,15,2
kh,0.6222222222222222,15,2
geo,0.4222222222222222,30,2
hop,0.4222222222222222,30,2
iid,0.5333333333333333,30,2
kh,0.4888888888888888,30,2
geo,0.48888888888888893,50,2
hop,0.4666666666666667,50,2
iid,0.6444444444444445,50,2
kh,0.5555555555555556,50,2
geo,0.5555555555555556,15,2
hop,0.5111111111111111,15,2
iid,0.5111111111111111,15,2
