Sketch1,Sketch2,Trial #,Method,Acc
1,2,1,iid,[0.78125]
1,2,1,geo,[0.60416667]
1,2,1,hop,[0.71875]
1,2,2,iid,[0.72916667]
1,2,2,geo,[0.58333333]
1,2,2,hop,[0.8125]
1,2,3,iid,[0.78125]
1,2,3,geo,[0.58333333]
1,2,3,hop,[0.73958333]
1,2,4,iid,[0.80208333]
1,2,4,geo,[0.51041667]
1,2,4,hop,[0.77083333]
1,2,5,iid,[0.8125]
1,2,5,geo,[0.58333333]
1,2,5,hop,[0.70833333]
1,3,1,iid,[0.75]
1,3,1,geo,[0.70833333]
1,3,1,hop,[0.78125]
1,3,2,iid,[0.79166667]
1,3,2,geo,[0.64583333]
1,3,2,hop,[0.79166667]
1,3,3,iid,[0.8125]
1,3,3,geo,[0.61458333]
1,3,3,hop,[0.76041667]
1,3,4,iid,[0.80208333]
1,3,4,geo,[0.67708333]
1,3,4,hop,[0.78125]
1,3,5,iid,[0.78125]
1,3,5,geo,[0.63541667]
1,3,5,hop,[0.75]
2,1,1,iid,[0.75]
2,1,1,geo,[0.55208333]
2,1,1,hop,[0.71875]
2,1,2,iid,[0.79166667]
2,1,2,geo,[0.625]
2,1,2,hop,[0.76041667]
2,1,3,iid,[0.8125]
2,1,3,geo,[0.5625]
2,1,3,hop,[0.75]
2,1,4,iid,[0.75]
2,1,4,geo,[0.61458333]
2,1,4,hop,[0.75]
2,1,5,iid,[0.76041667]
2,1,5,geo,[0.59375]
2,1,5,hop,[0.69791667]
2,3,1,iid,[0.79166667]
2,3,1,geo,[0.64583333]
2,3,1,hop,[0.78125]
2,3,2,iid,[0.76041667]
2,3,2,geo,[0.61458333]
2,3,2,hop,[0.75]
2,3,3,iid,[0.72916667]
2,3,3,geo,[0.65625]
2,3,3,hop,[0.72916667]
2,3,4,iid,[0.73958333]
2,3,4,geo,[0.65625]
2,3,4,hop,[0.72916667]
2,3,5,iid,[0.73958333]
2,3,5,geo,[0.66666667]
2,3,5,hop,[0.70833333]
3,1,1,iid,[0.80208333]
3,1,1,geo,[0.5625]
3,1,1,hop,[0.77083333]
3,1,2,iid,[0.77083333]
3,1,2,geo,[0.59375]
3,1,2,hop,[0.77083333]
3,1,3,iid,[0.77083333]
3,1,3,geo,[0.53125]
3,1,3,hop,[0.69791667]
3,1,4,iid,[0.76041667]
3,1,4,geo,[0.60416667]
3,1,4,hop,[0.8125]
3,1,5,iid,[0.76041667]
3,1,5,geo,[0.59375]
3,1,5,hop,[0.72916667]
3,2,1,iid,[0.79166667]
3,2,1,geo,[0.64583333]
3,2,1,hop,[0.78125]
3,2,2,iid,[0.77083333]
3,2,2,geo,[0.625]
3,2,2,hop,[0.76041667]
3,2,3,iid,[0.78125]
3,2,3,geo,[0.61458333]
3,2,3,hop,[0.75]
3,2,4,iid,[0.80208333]
3,2,4,geo,[0.54166667]
3,2,4,hop,[0.78125]
3,2,5,iid,[0.8125]
3,2,5,geo,[0.65625]
3,2,5,hop,[0.73958333]
1,2,1,kh,[0.82291667]
1,2,2,kh,[0.83333333]
1,2,3,kh,[0.79166667]
1,2,4,kh,[0.84375]
1,2,5,kh,[0.82291667]
1,3,1,kh,[0.75]
1,3,2,kh,[0.78125]
1,3,3,kh,[0.80208333]
1,3,4,kh,[0.83333333]
1,3,5,kh,[0.85416667]
2,1,1,kh,[0.84375]
2,1,2,kh,[0.84375]
2,1,3,kh,[0.84375]
2,1,4,kh,[0.84375]
2,1,5,kh,[0.85416667]
2,3,1,kh,[0.85416667]
2,3,2,kh,[0.85416667]
2,3,3,kh,[0.84375]
2,3,4,kh,[0.84375]
2,3,5,kh,[0.875]
3,1,1,kh,[0.86458333]
3,1,2,kh,[0.89583333]
3,1,3,kh,[0.88541667]
3,1,4,kh,[0.83333333]
3,1,5,kh,[0.86458333]
3,2,1,kh,[0.875]
3,2,2,kh,[0.84375]
3,2,3,kh,[0.8125]
3,2,4,kh,[0.85416667]
3,2,5,kh,[0.85416667]
